date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:39	130536/130536	---M--	200	added ('OK')	image/jpeg	etag:%22c77a9a07970480dd86dcd99b050a6e27%22	https://r.mobirisesite.com/2300835/assets/images/photo-1757924432508-d4e92411caeb.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1757924432508-d4e92411caeb.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:39	50343/50343	---M--	200	added ('OK')	image/jpeg	etag:%2215063bab57d71b2da4410bb94fcc7e11%22	https://r.mobirisesite.com/2300835/assets/images/photo-1720970228640-ac22842d782a.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1720970228640-ac22842d782a.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:39	156827/156827	---M--	200	added ('OK')	image/jpeg	etag:%2215313cd5dbabea22090765cfc4fb3706%22	https://r.mobirisesite.com/2300835/assets/images/photo-1758193431355-54df41421657.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1758193431355-54df41421657.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:39	35809/35809	---M--	200	added ('OK')	image/jpeg	etag:%22529287f19c88ec176e009a05a5000981%22	https://r.mobirisesite.com/2300835/assets/images/photo-1525614686090-7a3108e3758e.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1525614686090-7a3108e3758e.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:40	31923/31923	---M--	200	added ('OK')	image/jpeg	etag:%2258e335240aae0e439f53c976ebd75581%22	https://r.mobirisesite.com/2300835/assets/images/photo-1658335786123-b4b2b56a8c1d.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1658335786123-b4b2b56a8c1d.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:40	66013/66013	---M--	200	added ('OK')	image/jpeg	etag:%223b2b00011f671a6d9e13146a63666213%22	https://r.mobirisesite.com/2300835/assets/images/photo-1541385767762-a55c33eb0c80.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1541385767762-a55c33eb0c80.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:40	53750/53750	---M--	200	added ('OK')	image/jpeg	etag:%22ccb7642012c0400b399fa48851a8b612%22	https://r.mobirisesite.com/2300835/assets/images/photo-1629114112651-a8c8c27fb851.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1629114112651-a8c8c27fb851.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:41	75966/75966	---M--	200	added ('OK')	image/jpeg	etag:%2261b8bdbd880889629321eb43b8962362%22	https://r.mobirisesite.com/2300835/assets/images/photo-1653953893860-b8f756596132.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1653953893860-b8f756596132.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:41	66397/66397	---M--	200	added ('OK')	image/jpeg	etag:%22c5a96c204c956d417c64c2e4abfa3171%22	https://r.mobirisesite.com/2300835/assets/images/photo-1535026406642-530e01750ad7.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1535026406642-530e01750ad7.jpg	(from https://maasaradaapartment.mobirisesite.com/)
19:38:41	72569/72569	---M--	200	added ('OK')	image/jpeg	etag:%228827c4b4bb157e41abe01cb51cd08f44%22	https://r.mobirisesite.com/2300835/assets/images/photo-1757439402190-99b73ac8e807.jpeg	C:/Users/TIRTHARAJ/Downloads/clone/clone/r.mobirisesite.com/2300835/assets/images/photo-1757439402190-99b73ac8e807.jpg	(from https://maasaradaapartment.mobirisesite.com/)
